                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.113,                 3.1422,                 1.4442,                0.00812,                0.80093,                0.13716,                0.06731,                0.97853,                 3.2145,                 1.5046,              4.287e-05,              4.287e-05,              4.287e-05
                      2,                  1.122,                 3.0714,                 1.5266,                0.00864,                0.88426,                0.27585,                0.13687,                0.96888,                 3.1995,                  1.433,             9.9535e-05,             9.9535e-05,             9.9535e-05
                      3,                 1.1262,                 2.9313,                 1.4765,                0.00887,                0.92593,                0.42299,                0.28708,                 1.0003,                 3.1073,                 1.3693,             0.00015563,             0.00015563,             0.00015563
                      4,                 1.0375,                 2.5734,                 1.3918,                0.00889,                0.92593,                0.48327,                0.33627,                  1.017,                  2.952,                   1.35,             0.00021117,             0.00021117,             0.00021117
                      5,                 1.0346,                  2.201,                 1.3966,                0.00944,                0.96296,                0.54482,                0.37045,                0.99936,                 2.8166,                 1.3468,             0.00026613,             0.00026613,             0.00026613
                      6,                 1.0085,                  2.017,                 1.3308,                 0.0091,                 0.9213,                0.62395,                0.42204,                0.97083,                 2.7189,                 1.3561,             0.00032054,             0.00032054,             0.00032054
                      7,                 1.0337,                 1.8202,                 1.3831,                 0.9205,                0.20833,                0.63697,                0.39931,                0.93369,                  2.593,                 1.3325,             0.00037437,             0.00037437,             0.00037437
                      8,                0.98808,                 1.7031,                 1.3216,                      1,                0.16695,                0.59294,                 0.3487,                 1.0479,                 2.6617,                 1.3839,             0.00042764,             0.00042764,             0.00042764
                      9,                0.98423,                 1.6317,                 1.3389,                0.68649,                0.42811,                0.63697,                0.41313,                 1.0744,                 2.5004,                 1.3642,             0.00048034,             0.00048034,             0.00048034
                     10,                0.94294,                  1.514,                 1.2972,                0.67796,                0.49111,                0.70904,                0.45093,                 1.1132,                 2.3294,                 1.4411,             0.00053248,             0.00053248,             0.00053248
                     11,                0.92813,                 1.4615,                 1.3336,                0.46376,                0.52778,                0.69664,                0.41825,                 1.1688,                 2.2263,                  1.531,             0.00058405,             0.00058405,             0.00058405
                     12,                0.96677,                 1.4093,                 1.2907,                0.44801,                0.70765,                0.65269,                 0.4358,                 1.1708,                  2.064,                 1.5259,             0.00063506,             0.00063506,             0.00063506
                     13,                0.88539,                 1.3346,                  1.223,                0.37681,                0.63118,                0.62828,                0.44645,                 1.1695,                 2.2282,                 1.5314,              0.0006855,              0.0006855,              0.0006855
                     14,                0.95147,                 1.4248,                 1.2735,                0.41937,                0.62213,                0.64944,                0.44306,                 1.2013,                 2.1742,                 1.5678,             0.00073537,             0.00073537,             0.00073537
                     15,                0.92041,                 1.3355,                 1.2414,                0.64343,                0.72722,                0.75439,                0.54461,                 1.1867,                 1.7101,                 1.6177,             0.00078468,             0.00078468,             0.00078468
                     16,                0.89047,                 1.2409,                 1.2595,                0.59098,                0.70981,                0.73875,                0.51728,                   1.15,                 1.8494,                 1.5072,             0.00083342,             0.00083342,             0.00083342
                     17,                0.92354,                 1.2544,                  1.237,                0.63029,                0.75064,                0.74433,                0.50057,                 1.1266,                 1.7562,                  1.524,              0.0008816,              0.0008816,              0.0008816
                     18,                0.94107,                 1.3019,                 1.2375,                0.70928,                0.66498,                0.72527,                0.53272,                 1.2164,                 1.6286,                 1.6964,             0.00092921,             0.00092921,             0.00092921
                     19,                0.93409,                 1.2606,                  1.238,                0.71213,                0.63889,                0.67644,                0.46134,                 1.1055,                 1.7051,                 1.5677,             0.00097626,             0.00097626,             0.00097626
                     20,                0.89337,                 1.2426,                 1.2482,                0.57089,                  0.688,                0.69287,                0.44737,                 1.2457,                 1.9264,                 1.6679,              0.0010227,              0.0010227,              0.0010227
                     21,                0.99663,                 1.2923,                   1.24,                0.80104,                0.67737,                0.72074,                0.43913,                 1.2529,                 2.3261,                 1.7558,              0.0010686,              0.0010686,              0.0010686
                     22,                0.90374,                 1.2628,                 1.2192,                0.83518,                0.75155,                  0.754,                0.53856,                  1.145,                 1.6829,                 1.6362,               0.001114,               0.001114,               0.001114
                     23,                 1.0014,                 1.3159,                 1.3167,                0.78618,                0.74282,                0.78318,                0.54989,                 1.1192,                 1.4454,                 1.5791,              0.0011588,              0.0011588,              0.0011588
                     24,                0.88366,                  1.299,                 1.2623,                0.70307,                0.79376,                0.82791,                0.56872,                 1.1735,                 1.4578,                 1.5239,               0.001203,               0.001203,               0.001203
                     25,                0.92703,                 1.1742,                 1.2468,                0.77175,                0.72337,                0.80469,                0.49407,                 1.2399,                 1.8068,                 1.6564,              0.0012466,              0.0012466,              0.0012466
