                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0886,                   3.15,                 1.4263,                0.00771,                0.75926,                0.14976,                 0.0688,                0.97579,                 3.2154,                 1.5011,              4.287e-05,              4.287e-05,              4.287e-05
                      2,                 1.1156,                 3.0603,                 1.5353,                0.00781,                0.75926,                0.32213,                0.14722,                0.98884,                 3.2151,                 1.4913,               9.97e-05,               9.97e-05,               9.97e-05
                      3,                 1.1308,                 2.9178,                 1.4723,                0.00804,                0.84722,                0.42399,                0.27592,                0.98511,                 3.1035,                 1.3606,             0.00015615,             0.00015615,             0.00015615
                      4,                 1.0703,                 2.5613,                 1.4109,                0.00896,                0.92593,                0.42124,                0.31064,                0.98395,                 2.9162,                   1.27,             0.00021223,             0.00021223,             0.00021223
                      5,                 1.0808,                   2.19,                 1.4123,                0.00948,                0.96296,                0.54327,                0.39677,                 0.9427,                 2.7836,                 1.2624,             0.00026793,             0.00026793,             0.00026793
                      6,                 1.0517,                 2.0032,                 1.3484,                0.75386,                0.64352,                0.65605,                0.44998,                 1.0025,                 2.6605,                 1.3668,             0.00032325,             0.00032325,             0.00032325
                      7,                 1.0719,                 1.8742,                 1.4101,                 0.8068,                0.25955,                 0.6332,                0.42568,                 1.0611,                 2.5123,                 1.4852,             0.00037819,             0.00037819,             0.00037819
                      8,                 1.0793,                 1.7398,                 1.3615,                 0.9716,                0.29775,                 0.6506,                 0.4071,                   1.19,                  2.642,                 1.5425,             0.00043276,             0.00043276,             0.00043276
                      9,                 1.0779,                 1.6297,                 1.3597,                0.87606,                0.40947,                0.71471,                 0.4812,                0.97069,                 2.5492,                 1.2973,             0.00048695,             0.00048695,             0.00048695
                     10,                0.98308,                 1.4992,                 1.3108,                0.79624,                0.29167,                0.61048,                0.42231,                0.95805,                 2.3692,                 1.2816,             0.00054076,             0.00054076,             0.00054076
                     11,                 1.0154,                 1.5165,                 1.3705,                0.60185,                0.47978,                0.66219,                0.45361,                 1.0755,                 2.1417,                 1.3651,             0.00059419,             0.00059419,             0.00059419
                     12,                 1.0527,                 1.5813,                 1.3308,                0.63705,                 0.5145,                0.64481,                0.46566,                 1.0956,                 2.2175,                 1.4514,             0.00064725,             0.00064725,             0.00064725
                     13,                 1.0074,                   1.38,                 1.3026,                0.56124,                0.34239,                0.57174,                 0.3794,                 1.2662,                 2.4898,                 1.6139,             0.00069993,             0.00069993,             0.00069993
                     14,                 1.0043,                  1.483,                 1.2929,                0.60682,                0.64352,                0.63022,                0.35389,                 1.2933,                 2.3695,                 1.6448,             0.00075223,             0.00075223,             0.00075223
                     15,                0.99975,                 1.4743,                 1.2996,                0.45954,                0.59681,                0.60412,                0.40228,                 1.1246,                 2.9404,                  1.495,             0.00080416,             0.00080416,             0.00080416
                     16,                0.98952,                 1.3911,                 1.3354,                0.43704,                0.65192,                0.59028,                0.38243,                 1.2052,                 2.0886,                 1.5601,             0.00085571,             0.00085571,             0.00085571
                     17,                0.97976,                  1.327,                 1.2793,                0.52227,                0.59259,                0.62271,                0.38977,                 1.1892,                 1.7391,                 1.4767,             0.00090688,             0.00090688,             0.00090688
                     18,                 1.0518,                 1.3566,                 1.2903,                 0.8139,                0.64407,                0.76375,                0.44244,                 1.2416,                 1.7842,                 1.5723,             0.00095767,             0.00095767,             0.00095767
                     19,                 1.0645,                 1.3957,                 1.3217,                0.97414,                 0.6117,                0.74903,                0.45689,                 1.1556,                 1.7876,                 1.5831,              0.0010081,              0.0010081,              0.0010081
                     20,                0.97011,                 1.2983,                 1.2991,                0.67133,                0.63889,                0.67898,                 0.4595,                 1.1745,                 2.1481,                  1.574,              0.0010581,              0.0010581,              0.0010581
                     21,                 1.0065,                 1.3355,                 1.2647,                0.53755,                0.74385,                0.70393,                0.45771,                 1.1358,                 2.0652,                 1.6987,              0.0011078,              0.0011078,              0.0011078
                     22,                 0.9576,                 1.3249,                 1.2542,                0.73571,                0.67016,                0.76697,                0.55542,                 1.1309,                 1.7339,                 1.6854,              0.0011571,              0.0011571,              0.0011571
                     23,                 1.0252,                 1.3845,                 1.3412,                0.85849,                0.68885,                 0.7916,                0.58989,                 1.1687,                 1.7078,                 1.5644,               0.001206,               0.001206,               0.001206
                     24,                0.94001,                 1.3313,                 1.2843,                0.68641,                0.72685,                0.77876,                0.51077,                 1.2716,                 1.7885,                 1.6962,              0.0012545,              0.0012545,              0.0012545
                     25,                 0.9613,                 1.2323,                 1.2587,                0.83429,                0.69718,                0.77627,                0.52216,                 1.2267,                 1.7059,                 1.6093,              0.0013027,              0.0013027,              0.0013027
                     26,                 0.9542,                 1.2671,                 1.2833,                0.78236,                0.63737,                0.79553,                0.51888,                 1.1478,                 1.7194,                 1.5218,              0.0013111,              0.0013111,              0.0013111
                     27,                0.94398,                 1.2552,                 1.2786,                0.68796,                0.48903,                0.66308,                0.45147,                 1.3555,                 1.9801,                 1.7455,              0.0013111,              0.0013111,              0.0013111
                     28,                0.90859,                 1.2588,                 1.2422,                0.75443,                0.59769,                0.65408,                0.42724,                 1.5604,                 2.0943,                 2.3455,              0.0013064,              0.0013064,              0.0013064
                     29,                0.94791,                 1.2247,                 1.2457,                0.71877,                0.58754,                0.61447,                0.45873,                 1.6018,                 2.2386,                 2.3995,              0.0013017,              0.0013017,              0.0013017
                     30,                0.84036,                 1.1241,                 1.2173,                0.63875,                0.61034,                0.63292,                 0.4721,                 1.5798,                 2.2538,                 2.2613,               0.001297,               0.001297,               0.001297
                     31,                0.93603,                 1.1997,                 1.2737,                0.42812,                0.66443,                0.59181,                0.41575,                 1.4922,                 2.1375,                 2.1505,              0.0012922,              0.0012922,              0.0012922
                     32,                0.88742,                 1.0655,                 1.1924,                0.86652,                0.59709,                0.80106,                0.57956,                 1.2603,                 1.6077,                 1.6951,              0.0012875,              0.0012875,              0.0012875
                     33,                0.87972,                 1.0718,                 1.2178,                0.93656,                0.66327,                0.86472,                0.65128,                 1.0648,                 1.4821,                 1.4116,              0.0012828,              0.0012828,              0.0012828
                     34,                0.92165,                 1.1262,                 1.2286,                0.83657,                0.71382,                0.81456,                0.62742,                0.90623,                 1.4262,                 1.2994,              0.0012781,              0.0012781,              0.0012781
                     35,                0.86119,                 1.0043,                 1.1894,                0.72512,                0.67593,                0.70524,                0.54927,                0.98408,                 1.4879,                  1.397,              0.0012734,              0.0012734,              0.0012734
                     36,                0.89844,                 1.0589,                 1.2497,                0.60063,                0.63442,                0.64685,                0.49687,                0.96592,                  1.583,                  1.374,              0.0012687,              0.0012687,              0.0012687
                     37,                0.85595,                  1.071,                 1.2079,                0.57168,                0.70803,                0.74621,                0.56305,                0.92506,                 1.5148,                 1.3269,               0.001264,               0.001264,               0.001264
                     38,                0.81518,                 1.0397,                  1.191,                0.58785,                0.93243,                0.73598,                0.55547,                 0.8565,                 1.4806,                 1.2164,              0.0012592,              0.0012592,              0.0012592
                     39,                0.86547,                0.99428,                 1.2169,                0.80183,                0.89563,                0.87972,                 0.6574,                0.86764,                 1.3342,                 1.2067,              0.0012545,              0.0012545,              0.0012545
                     40,                0.85867,                 1.0366,                  1.194,                0.95172,                0.85384,                0.93492,                0.73225,                0.81579,                 1.1749,                 1.1967,              0.0012498,              0.0012498,              0.0012498
                     41,                0.88734,                 1.0146,                 1.2182,                0.89145,                 0.9191,                0.93838,                0.73651,                0.80802,                 1.1477,                 1.1938,              0.0012451,              0.0012451,              0.0012451
                     42,                0.88369,                 1.0364,                 1.2327,                0.88596,                0.89023,                0.95556,                0.76468,                0.79241,                 1.2125,                 1.1791,              0.0012404,              0.0012404,              0.0012404
                     43,                0.85244,                 1.0062,                 1.2112,                0.91432,                0.91124,                0.96376,                0.73519,                0.85372,                 1.0857,                 1.2336,              0.0012357,              0.0012357,              0.0012357
                     44,                0.79555,                0.97142,                 1.1441,                0.95874,                0.92567,                0.97633,                 0.7762,                0.87056,                 1.0991,                 1.1908,              0.0012309,              0.0012309,              0.0012309
                     45,                0.84384,                  1.032,                 1.2223,                0.96283,                0.91071,                0.97786,                0.74505,                0.82474,                 1.1579,                 1.1726,              0.0012262,              0.0012262,              0.0012262
                     46,                0.76498,                0.90751,                 1.1569,                0.94807,                0.93628,                0.96837,                0.75364,                0.80654,                 1.1033,                 1.1621,              0.0012215,              0.0012215,              0.0012215
                     47,                  0.771,                0.92284,                 1.1688,                0.93851,                0.94755,                0.95911,                0.73696,                0.82235,                 1.0438,                  1.191,              0.0012168,              0.0012168,              0.0012168
                     48,                0.86161,                 1.0262,                 1.2106,                0.91821,                0.87631,                0.96722,                0.73868,                0.83363,                 1.0329,                 1.2047,              0.0012121,              0.0012121,              0.0012121
                     49,                0.84524,                0.97905,                 1.1909,                0.91078,                 0.7963,                0.94874,                0.74845,                0.76231,                 1.0858,                 1.1699,              0.0012074,              0.0012074,              0.0012074
                     50,                0.81987,                0.97574,                 1.1619,                0.92957,                0.76709,                0.98389,                0.76641,                0.77372,                 1.1308,                 1.1996,              0.0012026,              0.0012026,              0.0012026
                     51,                0.81637,                0.92531,                 1.1789,                0.83923,                0.96763,                0.99133,                0.76023,                0.80409,                  1.002,                 1.2599,              0.0011979,              0.0011979,              0.0011979
                     52,                0.80056,                0.90228,                  1.172,                0.91826,                0.94648,                  0.995,                0.79118,                0.77697,                0.95612,                 1.2423,              0.0011932,              0.0011932,              0.0011932
                     53,                0.79241,                0.89241,                 1.1979,                0.88399,                      1,                  0.987,                0.78331,                0.75981,                0.91108,                 1.2388,              0.0011885,              0.0011885,              0.0011885
                     54,                0.82794,                0.90115,                 1.1826,                0.97852,                0.95833,                0.97786,                0.78477,                0.75069,                0.86493,                 1.2384,              0.0011838,              0.0011838,              0.0011838
                     55,                0.76569,                0.87534,                 1.1644,                0.95614,                0.95602,                0.97278,                 0.8015,                0.79811,                0.89078,                 1.2466,              0.0011791,              0.0011791,              0.0011791
                     56,                0.77094,                0.84983,                  1.144,                0.94081,                0.95833,                0.96367,                0.79475,                0.76387,                0.89481,                 1.2431,              0.0011744,              0.0011744,              0.0011744
                     57,                0.81623,                0.87174,                 1.1762,                0.97367,                 0.9069,                0.97184,                0.81051,                0.69879,                 0.8693,                 1.2022,              0.0011696,              0.0011696,              0.0011696
                     58,                0.76881,                0.85946,                  1.132,                0.98582,                0.93314,                0.97633,                0.83633,                0.65644,                0.79268,                 1.1583,              0.0011649,              0.0011649,              0.0011649
                     59,                0.78012,                0.83616,                 1.1494,                0.96667,                0.93796,                0.97962,                0.81554,                0.69507,                0.78497,                 1.1119,              0.0011602,              0.0011602,              0.0011602
                     60,                0.72945,                0.80419,                  1.089,                0.96129,                0.95833,                0.99056,                0.81851,                 0.7187,                0.76981,                 1.1147,              0.0011555,              0.0011555,              0.0011555
                     61,                0.68801,                0.78323,                 1.1034,                 0.9544,                      1,                  0.995,                0.81405,                0.73933,                0.75267,                 1.1388,              0.0011508,              0.0011508,              0.0011508
                     62,                0.76959,                0.85003,                 1.1581,                0.91142,                0.99842,                0.98574,                0.82478,                0.73562,                0.76838,                 1.1344,              0.0011461,              0.0011461,              0.0011461
                     63,                0.75295,                0.80099,                   1.11,                0.93818,                0.95967,                0.99056,                0.83368,                 0.6724,                0.77051,                 1.1099,              0.0011413,              0.0011413,              0.0011413
                     64,                0.71735,                0.79735,                 1.1107,                0.95511,                0.88414,                0.95724,                0.81595,                0.67407,                 0.7453,                 1.0927,              0.0011366,              0.0011366,              0.0011366
                     65,                0.80221,                0.87974,                 1.1873,                0.92856,                 0.9218,                0.98167,                0.84681,                0.68801,                0.79268,                 1.1052,              0.0011319,              0.0011319,              0.0011319
