                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2368,                 3.2395,                 1.6362,                0.00812,                0.80093,                0.13727,                0.07164,                0.96258,                 3.2051,                 1.4701,              1.429e-05,              1.429e-05,              1.429e-05
                      2,                 1.1707,                 3.1457,                 1.6356,                0.00772,                0.75926,                0.14465,                0.06806,                0.97621,                 3.2121,                 1.4925,             4.2729e-05,             4.2729e-05,             4.2729e-05
                      3,                 1.1291,                 3.2078,                 1.6087,                0.00774,                0.75926,                0.12888,                0.06448,                 0.9833,                 3.2239,                 1.4938,             7.0978e-05,             7.0978e-05,             7.0978e-05
                      4,                 1.2486,                 3.2126,                 1.6535,                 0.0078,                0.75926,                0.27882,                 0.1321,                0.99412,                  3.206,                 1.4798,              9.904e-05,              9.904e-05,              9.904e-05
                      5,                 1.0889,                 3.0833,                 1.5365,                0.00772,                0.76389,                0.45237,                0.29038,                0.84142,                 3.1576,                 1.2767,             0.00012691,             0.00012691,             0.00012691
                      6,                0.99264,                 2.8298,                 1.3808,                0.00822,                0.84722,                0.43699,                0.32636,                0.93015,                 3.0571,                 1.2428,              0.0001546,              0.0001546,              0.0001546
                      7,                 1.0426,                 2.5984,                 1.4337,                0.00822,                0.84722,                0.44136,                0.32344,                0.99091,                 2.9712,                 1.2881,             0.00018209,             0.00018209,             0.00018209
                      8,                 1.0277,                 2.3037,                 1.4235,                0.00877,                0.88889,                0.59437,                0.43946,                0.94384,                 2.8329,                 1.2467,              0.0002094,              0.0002094,              0.0002094
                      9,                 1.1441,                 2.2132,                 1.4833,                0.53265,                0.68019,                0.54899,                0.40108,                0.84914,                 2.6842,                 1.2118,             0.00023652,             0.00023652,             0.00023652
                     10,                 1.1537,                 2.1457,                 1.4778,                0.83535,                0.27778,                0.53364,                0.38797,                0.93345,                  2.698,                 1.2481,             0.00026345,             0.00026345,             0.00026345
                     11,                 1.0459,                 1.8892,                 1.3809,                0.01089,                0.92593,                0.68068,                0.46651,                 1.0628,                 2.7933,                 1.3217,             0.00029019,             0.00029019,             0.00029019
                     12,                 1.0514,                 1.7958,                 1.3828,                0.01018,                0.88889,                0.76793,                0.61727,                0.83544,                 2.7014,                 1.1845,             0.00031674,             0.00031674,             0.00031674
                     13,                0.93792,                 1.6728,                 1.3221,                0.01016,                0.88889,                0.70906,                0.57614,                0.82692,                 2.6437,                  1.218,              0.0003431,              0.0003431,              0.0003431
                     14,                0.97097,                  1.621,                 1.3657,                0.00988,                0.88889,                 0.7157,                0.52269,                 1.0088,                 2.7015,                 1.3681,             0.00036928,             0.00036928,             0.00036928
                     15,                0.95646,                 1.4761,                 1.3227,                0.98555,                0.66612,                0.77206,                0.58792,                0.91062,                 2.5348,                 1.2628,             0.00039526,             0.00039526,             0.00039526
